[Header]
Application Name	LabSolutions
Version	5.81 SP1
Data File Name	C:\LabSolutions\Data\Shangwen\20170529__Assay2_210nm_002.lcd
Output Date	5/29/2017
Output Time	3:31:06 PM

[File Information]
Type	Data File
Generated	5/29/2017 2:07:15 PM
Generated by	System Administrator
Modified	5/29/2017 2:32:39 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	5/29/2017 2:07:37 PM
Sample Type	0:Unknown
Level	0
Sample Name	Assay2_210nm
Sample ID	001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	95
Injection Volume	10

[Original Files]
Data File	C:\LabSolutions\Data\Shangwen\20170529__Assay2_210nm_002.lcd
Method File	C:\LabSolutions\Data\Shangwen\20170524_ATPAMP210gradient.lcm
Batch File	C:\LabSolutions\Data\Shangwen\20170524_batch2.lcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	NAIR-HPLC-Instrument1
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	AD2
Detector Name	Detector A	ELSD
# of Channels	1	1

[Peak Table(Detector A)]
# of Peaks	158
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
146	22.787	22.750	22.842	45694	8344	5.476	0.000	 V 			96.987	0	0.000	0.000	0.000	1.004	0	0	0.000	0.000
147	22.888	22.842	22.917	36562	8142	4.491	0.000	 V 			97.422	0	0.000	0.000	0.000	1.004	0	0	0.000	0.000
148	22.962	22.917	23.008	43765	8003	5.469	0.000	 V 			97.739	20	7514.410	0.000	0.000	1.003	0	0	0.000	0.000
149	23.056	23.008	23.100	42410	7703	5.506	0.000	 V 			98.146	0	0.000	0.000	0.000	1.004	0	0	0.000	0.000
150	23.169	23.100	23.292	85008	7543	11.270	0.000	 V 			98.628	0	0.000	0.000	0.000	1.005	0	0	0.000	0.000
151	23.334	23.292	23.358	28419	7142	3.979	0.000	 V 			99.339	180	833.634	0.000	0.000	1.007	0	0	0.000	0.000
152	23.399	23.358	23.592	94317	6974	13.524	0.000	 V 			99.617	0	0.000	0.000	0.000	1.003	0	0	0.000	0.000
153	23.617	23.592	23.625	12737	6365	2.001	0.000	 V 			100.555	0	0.000	0.000	0.000	1.009	0	0	0.000	0.000
154	23.640	23.625	23.800	64001	6329	10.112	0.000	 V 			100.656	0	0.000	0.000	0.000	1.001	0	0	0.000	0.000
155	23.863	23.800	23.892	31432	5715	5.500	0.000	 V 			101.614	0	0.000	0.000	0.000	1.010	0	0	0.000	0.000
156	23.926	23.892	24.000	35427	5557	6.375	0.000	 V 			101.884	0	0.000	0.000	0.000	1.003	0	0	0.000	0.000
157	24.025	24.000	24.283	80030	5179	15.452	0.000	 V 			102.311	0	0.000	0.000	0.000	1.004	0	0	0.000	0.000
158	24.295	24.283	24.908	80235	4089	19.621	0.000	 V 			103.471	1973	76.028	0.000	0.000	1.011	0	0	0.000	0.000

[Peak Table(AD2)]
# of Peaks	0

[Compound Results(Detector A)]
# of IDs	0

[Compound Results(AD2)]
# of IDs	0

[Group Results(Detector A)]
# of Groups	0

[Group Results(AD2)]
# of Groups	0

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	3001
Start Time(min)	0.000
End Time(min)	25.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	14
0.00833	14
0.01667	-9
0.02500	-27
0.03333	-24
0.04167	-26
0.05000	-24
0.05833	-36
0.06667	-11
0.07500	8
0.08333	10
0.09167	-7
0.10000	-66
0.10833	-106
0.11667	-95
0.12500	-107
0.13333	-126
0.14167	-154
0.15000	-185
0.15833	-192
0.16667	-168
0.17500	-133
0.18333	-102
0.19167	-65
0.20000	-43
0.20833	-19
0.21667	-15
0.22500	5
0.23333	12
0.24167	1
0.25000	-17
0.25833	-1
0.26667	10
0.27500	8
0.28333	5
0.29167	-9
0.30000	-1
0.30833	-18
0.31667	-38
0.32500	-26
0.33333	-28
0.34167	-33
0.35000	-29
0.35833	-13
0.36667	-3
0.37500	4
0.38333	-28
0.39167	-32
0.40000	-23
0.40833	-12
0.41667	-21
0.42500	-23
0.43333	-18
0.44167	2
0.45000	8
0.45833	12
0.46667	19
0.47500	17
0.48333	25
0.49167	16
0.50000	20
0.50833	12
0.51667	-0
0.52500	-24
0.53333	-34
0.54167	-43
0.55000	-29
0.55833	-13
0.56667	-39
0.57500	-46
0.58333	-55
0.59167	-73
0.60000	-94
0.60833	-92
0.61667	-93
0.62500	-98
0.63333	-86
0.64167	-95
0.65000	-84
0.65833	-65
0.66667	-93
0.67500	-101
0.68333	-96
0.69167	-88
0.70000	-59
0.70833	-86
0.71667	-120
0.72500	-117
0.73333	-106
0.74167	-104
0.75000	-104
0.75833	-103
0.76667	-95
0.77500	-53
0.78333	-37
0.79167	-61
0.80000	-85
0.80833	-89
0.81667	-95
0.82500	-87
0.83333	-66
0.84167	-73
0.85000	-67
0.85833	-82
0.86667	-113
0.87500	-128
0.88333	-111
0.89167	-97
0.90000	-79
0.90833	-68
0.91667	-91
0.92500	-96
0.93333	-120
0.94167	-124
0.95000	-145
0.95833	-145
0.96667	-107
0.97500	-78
0.98333	-80
0.99167	-85
1.00000	-67
1.00833	-49
1.01667	-33
1.02500	-21
1.03333	-21
1.04167	-8
1.05000	-13
1.05833	-35
1.06667	-65
1.07500	-59
1.08333	-44
1.09167	-60
1.10000	-48
1.10833	-31
1.11667	-23
1.12500	-26
1.13333	-32
1.14167	-16
1.15000	16
1.15833	-17
1.16667	-43
1.17500	-74
1.18333	-80
1.19167	-74
1.20000	-71
1.20833	-88
1.21667	-85
1.22500	-93
1.23333	-101
1.24167	-115
1.25000	-102
1.25833	-87
1.26667	-60
1.27500	-33
1.28333	-7
1.29167	-1
1.30000	0
1.30833	4
1.31667	-6
1.32500	-4
1.33333	13
1.34167	2
1.35000	-16
1.35833	-14
1.36667	-2
1.37500	-9
1.38333	3
1.39167	11
1.40000	34
1.40833	43
1.41667	51
1.42500	52
1.43333	57
1.44167	64
1.45000	53
1.45833	42
1.46667	58
1.47500	56
1.48333	52
1.49167	66
1.50000	53
1.50833	68
1.51667	62
1.52500	66
1.53333	49
1.54167	42
1.55000	46
1.55833	30
1.56667	7
1.57500	3
1.58333	8
1.59167	52
1.60000	69
1.60833	80
1.61667	130
1.62500	118
1.63333	91
1.64167	74
1.65000	64
1.65833	54
1.66667	44
1.67500	25
1.68333	10
1.69167	-1
1.70000	1
1.70833	7
1.71667	7
1.72500	-11
1.73333	-15
1.74167	-9
1.75000	19
1.75833	47
1.76667	56
1.77500	38
1.78333	24
1.79167	51
1.80000	43
1.80833	52
1.81667	63
1.82500	66
1.83333	88
1.84167	114
1.85000	113
1.85833	98
1.86667	65
1.87500	12
1.88333	-27
1.89167	-14
1.90000	30
1.90833	77
1.91667	93
1.92500	87
1.93333	76
1.94167	28
1.95000	-33
1.95833	-47
1.96667	-26
1.97500	-1
1.98333	19
1.99167	22
2.00000	21
2.00833	45
2.01667	42
2.02500	49
2.03333	68
2.04167	80
2.05000	91
2.05833	61
2.06667	37
2.07500	49
2.08333	52
2.09167	70
2.10000	62
2.10833	86
2.11667	119
2.12500	92
2.13333	57
2.14167	36
2.15000	19
2.15833	4
2.16667	22
2.17500	29
2.18333	63
2.19167	66
2.20000	81
2.20833	97
2.21667	90
2.22500	104
2.23333	109
2.24167	111
2.25000	107
2.25833	91
2.26667	78
2.27500	97
2.28333	127
2.29167	110
2.30000	98
2.30833	86
2.31667	76
2.32500	66
2.33333	68
2.34167	71
2.35000	73
2.35833	46
2.36667	25
2.37500	17
2.38333	22
2.39167	43
2.40000	58
2.40833	68
2.41667	68
2.42500	72
2.43333	77
2.44167	65
2.45000	48
2.45833	36
2.46667	56
2.47500	75
2.48333	75
2.49167	96
2.50000	95
2.50833	92
2.51667	77
2.52500	68
2.53333	55
2.54167	41
2.55000	30
2.55833	41
2.56667	45
2.57500	23
2.58333	10
2.59167	12
2.60000	2
2.60833	11
2.61667	-6
2.62500	-32
2.63333	-18
2.64167	6
2.65000	27
2.65833	18
2.66667	15
2.67500	27
2.68333	34
2.69167	39
2.70000	34
2.70833	45
2.71667	55
2.72500	63
2.73333	35
2.74167	7
2.75000	-22
2.75833	-37
2.76667	-15
2.77500	4
2.78333	18
2.79167	12
2.80000	-22
2.80833	-1
2.81667	-9
2.82500	-18
2.83333	20
2.84167	59
2.85000	71
2.85833	66
2.86667	65
2.87500	66
2.88333	40
2.89167	71
2.90000	100
2.90833	105
2.91667	89
2.92500	83
2.93333	97
2.94167	89
2.95000	101
2.95833	122
2.96667	155
2.97500	186
2.98333	187
2.99167	215
3.00000	290
3.00833	388
3.01667	460
3.02500	541
3.03333	651
3.04167	752
3.05000	887
3.05833	1019
3.06667	1187
3.07500	1408
3.08333	1838
3.09167	2572
3.10000	3695
3.10833	5242
3.11667	7000
3.12500	8615
3.13333	9801
3.14167	10447
3.15000	10542
3.15833	10160
3.16667	9435
3.17500	8527
3.18333	7509
3.19167	6485
3.20000	5523
3.20833	4609
3.21667	3731
3.22500	2856
3.23333	1794
3.24167	251
3.25000	-2233
3.25833	-6139
3.26667	-11834
3.27500	-19409
3.28333	-28549
3.29167	-38371
3.30000	-47163
3.30833	-52821
3.31667	-53704
3.32500	-49210
3.33333	-39590
3.34167	-25310
3.35000	-6426
3.35833	17069
3.36667	44432
3.37500	73591
3.38333	101353
3.39167	124090
3.40000	138820
3.40833	143661
3.41667	138164
3.42500	123016
3.43333	100229
3.44167	73148
3.45000	46038
3.45833	23061
3.46667	7191
3.47500	-409
3.48333	-515
3.49167	4734
3.50000	12743
3.50833	21016
3.51667	27842
3.52500	32284
3.53333	34104
3.54167	33656
3.55000	31659
3.55833	28842
3.56667	25747
3.57500	22822
3.58333	20290
3.59167	18269
3.60000	16794
3.60833	15886
3.61667	15581
3.62500	15791
3.63333	16470
3.64167	17464
3.65000	18603
3.65833	19710
3.66667	20511
3.67500	20874
3.68333	20694
3.69167	19935
3.70000	18730
3.70833	17181
3.71667	15553
3.72500	14060
3.73333	13139
3.74167	13537
3.75000	16687
3.75833	24948
3.76667	41199
3.77500	68283
3.78333	108226
3.79167	161945
3.80000	229305
3.80833	309710
3.81667	402086
3.82500	504717
3.83333	615219
3.84167	731348
3.85000	851741
3.85833	974066
3.86667	1090819
3.87500	1189422
3.88333	1251966
3.89167	1264672
3.90000	1222519
3.90833	1130932
3.91667	1002730
3.92500	854565
3.93333	703124
3.94167	561616
3.95000	438375
3.95833	336641
3.96667	256160
3.97500	194493
3.98333	148391
3.99167	114465
4.00000	89756
4.00833	71766
4.01667	58575
4.02500	48825
4.03333	41509
4.04167	35918
4.05000	31517
4.05833	27972
4.06667	25113
4.07500	22850
4.08333	21211
4.09167	20581
4.10000	21840
4.10833	26874
4.11667	39005
4.12500	63202
4.13333	105201
4.14167	169211
4.15000	255390
4.15833	358500
4.16667	468343
4.17500	573147
4.18333	661962
4.19167	727041
4.20000	764185
4.20833	772975
4.21667	755945
4.22500	717344
4.23333	662642
4.24167	597649
4.25000	527633
4.25833	457190
4.26667	389998
4.27500	328402
4.28333	273699
4.29167	226340
4.30000	186206
4.30833	152805
4.31667	125364
4.32500	103013
4.33333	84956
4.34167	70445
4.35000	58849
4.35833	49595
4.36667	42188
4.37500	36246
4.38333	31447
4.39167	27548
4.40000	24303
4.40833	21606
4.41667	19366
4.42500	17476
4.43333	15887
4.44167	14545
4.45000	13444
4.45833	12441
4.46667	11538
4.47500	10744
4.48333	10056
4.49167	9450
4.50000	8880
4.50833	8352
4.51667	7882
4.52500	7491
4.53333	7153
4.54167	6841
4.55000	6518
4.55833	6199
4.56667	5912
4.57500	5679
4.58333	5465
4.59167	5271
4.60000	5105
4.60833	4934
4.61667	4729
4.62500	4477
4.63333	4196
4.64167	3823
4.65000	3315
4.65833	2567
4.66667	1569
4.67500	296
4.68333	-1170
4.69167	-2682
4.70000	-4013
4.70833	-4829
4.71667	-4615
4.72500	-2773
4.73333	1368
4.74167	8411
4.75000	18881
4.75833	33010
4.76667	50509
4.77500	70634
4.78333	92237
4.79167	113768
4.80000	133783
4.80833	150940
4.81667	164207
4.82500	172894
4.83333	176523
4.84167	175008
4.85000	168658
4.85833	158137
4.86667	144416
4.87500	128652
4.88333	112002
4.89167	95477
4.90000	79839
4.90833	65647
4.91667	53158
4.92500	42452
4.93333	33471
4.94167	26092
4.95000	20189
4.95833	15532
4.96667	11910
4.97500	9108
4.98333	6957
4.99167	5337
5.00000	4117
5.00833	3194
5.01667	2528
5.02500	2077
5.03333	1729
5.04167	1479
5.05000	1333
5.05833	1241
5.06667	1142
5.07500	1066
5.08333	984
5.09167	936
5.10000	894
5.10833	820
5.11667	746
5.12500	729
5.13333	717
5.14167	707
5.15000	687
5.15833	682
5.16667	686
5.17500	688
5.18333	716
5.19167	739
5.20000	770
5.20833	778
5.21667	748
5.22500	712
5.23333	693
5.24167	732
5.25000	762
5.25833	755
5.26667	761
5.27500	757
5.28333	767
5.29167	834
5.30000	958
5.30833	1151
5.31667	1499
5.32500	2085
5.33333	3093
5.34167	4824
5.35000	7855
5.35833	13033
5.36667	21762
5.37500	36063
5.38333	58632
5.39167	92574
5.40000	140643
5.40833	204506
5.41667	283715
5.42500	375145
5.43333	473654
5.44167	572691
5.45000	665939
5.45833	748160
5.46667	815505
5.47500	865939
5.48333	898818
5.49167	914832
5.50000	914954
5.50833	900920
5.51667	874815
5.52500	838476
5.53333	793683
5.54167	742577
5.55000	686616
5.55833	627343
5.56667	566499
5.57500	505645
5.58333	446120
5.59167	389192
5.60000	335778
5.60833	286631
5.61667	242261
5.62500	202883
5.63333	168507
5.64167	138910
5.65000	113857
5.65833	92909
5.66667	75571
5.67500	61330
5.68333	49742
5.69167	40422
5.70000	32959
5.70833	27016
5.71667	22271
5.72500	18492
5.73333	15455
5.74167	13055
5.75000	11101
5.75833	9505
5.76667	8186
5.77500	7120
5.78333	6255
5.79167	5544
5.80000	4945
5.80833	4447
5.81667	4016
5.82500	3635
5.83333	3310
5.84167	3045
5.85000	2796
5.85833	2585
5.86667	2376
5.87500	2214
5.88333	2099
5.89167	2002
5.90000	1907
5.90833	1845
5.91667	1775
5.92500	1739
5.93333	1710
5.94167	1720
5.95000	1763
5.95833	1807
5.96667	1831
5.97500	1823
5.98333	1801
5.99167	1751
6.00000	1713
6.00833	1647
6.01667	1616
6.02500	1582
6.03333	1543
6.04167	1457
6.05000	1376
6.05833	1291
6.06667	1253
6.07500	1205
6.08333	1139
6.09167	1057
6.10000	987
6.10833	944
6.11667	929
6.12500	896
6.13333	830
6.14167	771
6.15000	740
6.15833	697
6.16667	656
6.17500	621
6.18333	625
6.19167	620
6.20000	612
6.20833	574
6.21667	542
6.22500	531
6.23333	515
6.24167	523
6.25000	516
6.25833	511
6.26667	510
6.27500	516
6.28333	528
6.29167	505
6.30000	463
6.30833	412
6.31667	380
6.32500	384
6.33333	378
6.34167	408
6.35000	439
6.35833	441
6.36667	427
6.37500	426
6.38333	429
6.39167	454
6.40000	434
6.40833	418
6.41667	439
6.42500	410
6.43333	378
6.44167	347
6.45000	339
6.45833	375
6.46667	418
6.47500	455
6.48333	477
6.49167	507
6.50000	518
6.50833	522
6.51667	516
6.52500	517
6.53333	518
6.54167	520
6.55000	511
6.55833	487
6.56667	455
6.57500	415
6.58333	394
6.59167	361
6.60000	313
6.60833	289
6.61667	309
6.62500	325
6.63333	328
6.64167	305
6.65000	275
6.65833	286
6.66667	283
6.67500	280
6.68333	263
6.69167	228
6.70000	234
6.70833	257
6.71667	240
6.72500	229
6.73333	249
6.74167	271
6.75000	280
6.75833	254
6.76667	235
6.77500	259
6.78333	272
6.79167	278
6.80000	280
6.80833	275
6.81667	280
6.82500	265
6.83333	260
6.84167	286
6.85000	287
6.85833	262
6.86667	255
6.87500	245
6.88333	222
6.89167	237
6.90000	233
6.90833	224
6.91667	223
6.92500	233
6.93333	247
6.94167	260
6.95000	264
6.95833	252
6.96667	232
6.97500	236
6.98333	214
6.99167	185
7.00000	150
7.00833	168
7.01667	192
7.02500	170
7.03333	189
7.04167	219
7.05000	225
7.05833	220
7.06667	204
7.07500	184
7.08333	179
7.09167	170
7.10000	152
7.10833	131
7.11667	97
7.12500	75
7.13333	74
7.14167	90
7.15000	115
7.15833	142
7.16667	127
7.17500	94
7.18333	99
7.19167	122
7.20000	145
7.20833	121
7.21667	86
7.22500	80
7.23333	78
7.24167	72
7.25000	62
7.25833	71
7.26667	80
7.27500	62
7.28333	52
7.29167	49
7.30000	49
7.30833	52
7.31667	42
7.32500	30
7.33333	21
7.34167	9
7.35000	8
7.35833	47
7.36667	97
7.37500	101
7.38333	40
7.39167	10
7.40000	9
7.40833	30
7.41667	36
7.42500	48
7.43333	34
7.44167	-4
7.45000	-24
7.45833	-17
7.46667	-36
7.47500	-33
7.48333	-3
7.49167	29
7.50000	57
7.50833	48
7.51667	7
7.52500	-28
7.53333	-32
7.54167	-38
7.55000	-33
7.55833	-25
7.56667	9
7.57500	16
7.58333	1
7.59167	-0
7.60000	5
7.60833	-22
7.61667	-42
7.62500	-56
7.63333	-43
7.64167	-31
7.65000	-20
7.65833	-19
7.66667	-49
7.67500	-69
7.68333	-88
7.69167	-105
7.70000	-102
7.70833	-83
7.71667	-67
7.72500	-65
7.73333	-48
7.74167	-63
7.75000	-34
7.75833	-21
7.76667	-51
7.77500	-75
7.78333	-77
7.79167	-89
7.80000	-120
7.80833	-128
7.81667	-94
7.82500	-73
7.83333	-89
7.84167	-106
7.85000	-78
7.85833	-48
7.86667	-21
7.87500	-32
7.88333	-94
7.89167	-128
7.90000	-120
7.90833	-117
7.91667	-141
7.92500	-136
7.93333	-121
7.94167	-90
7.95000	-60
7.95833	-50
7.96667	-66
7.97500	-90
7.98333	-93
7.99167	-98
8.00000	-107
8.00833	-85
8.01667	-75
8.02500	-52
8.03333	-54
8.04167	-76
8.05000	-96
8.05833	-66
8.06667	-16
8.07500	-24
8.08333	-45
8.09167	-69
8.10000	-94
8.10833	-101
8.11667	-78
8.12500	-79
8.13333	-70
8.14167	-33
8.15000	-1
8.15833	6
8.16667	3
8.17500	10
8.18333	-9
8.19167	-8
8.20000	-10
8.20833	-15
8.21667	-8
8.22500	3
8.23333	12
8.24167	33
8.25000	45
8.25833	41
8.26667	57
8.27500	69
8.28333	60
8.29167	30
8.30000	-6
8.30833	-25
8.31667	0
8.32500	24
8.33333	40
8.34167	47
8.35000	14
8.35833	-14
8.36667	-22
8.37500	1
8.38333	-2
8.39167	-36
8.40000	-45
8.40833	-29
8.41667	-10
8.42500	4
8.43333	9
8.44167	15
8.45000	33
8.45833	36
8.46667	31
8.47500	22
8.48333	35
8.49167	51
8.50000	64
8.50833	36
8.51667	10
8.52500	-15
8.53333	7
8.54167	14
8.55000	3
8.55833	-22
8.56667	-17
8.57500	4
8.58333	34
8.59167	46
8.60000	73
8.60833	72
8.61667	53
8.62500	37
8.63333	41
8.64167	19
8.65000	3
8.65833	6
8.66667	-5
8.67500	-34
8.68333	-44
8.69167	-46
8.70000	-58
8.70833	-56
8.71667	-63
8.72500	-53
8.73333	-45
8.74167	-35
8.75000	-30
8.75833	-41
8.76667	-47
8.77500	-80
8.78333	-92
8.79167	-68
8.80000	-87
8.80833	-91
8.81667	-78
8.82500	-79
8.83333	-70
8.84167	-48
8.85000	-32
8.85833	-15
8.86667	-5
8.87500	-21
8.88333	-56
8.89167	-55
8.90000	-77
8.90833	-86
8.91667	-66
8.92500	-27
8.93333	-37
8.94167	-75
8.95000	-79
8.95833	-54
8.96667	-42
8.97500	-59
8.98333	-50
8.99167	-36
9.00000	-37
9.00833	-26
9.01667	-32
9.02500	-31
9.03333	-48
9.04167	-25
9.05000	32
9.05833	79
9.06667	84
9.07500	43
9.08333	11
9.09167	-2
9.10000	11
9.10833	9
9.11667	1
9.12500	-15
9.13333	2
9.14167	39
9.15000	30
9.15833	23
9.16667	17
9.17500	44
9.18333	68
9.19167	88
9.20000	86
9.20833	60
9.21667	57
9.22500	70
9.23333	82
9.24167	81
9.25000	81
9.25833	74
9.26667	66
9.27500	67
9.28333	59
9.29167	62
9.30000	86
9.30833	96
9.31667	108
9.32500	128
9.33333	173
9.34167	210
9.35000	224
9.35833	204
9.36667	202
9.37500	235
9.38333	282
9.39167	287
9.40000	276
9.40833	260
9.41667	270
9.42500	273
9.43333	282
9.44167	303
9.45000	296
9.45833	315
9.46667	308
9.47500	290
9.48333	287
9.49167	302
9.50000	322
9.50833	346
9.51667	364
9.52500	363
9.53333	349
9.54167	354
9.55000	344
9.55833	348
9.56667	364
9.57500	389
9.58333	367
9.59167	334
9.60000	321
9.60833	301
9.61667	289
9.62500	291
9.63333	263
9.64167	248
9.65000	223
9.65833	238
9.66667	242
9.67500	230
9.68333	228
9.69167	236
9.70000	249
9.70833	253
9.71667	252
9.72500	246
9.73333	224
9.74167	202
9.75000	215
9.75833	217
9.76667	216
9.77500	195
9.78333	154
9.79167	123
9.80000	99
9.80833	73
9.81667	44
9.82500	61
9.83333	128
9.84167	178
9.85000	194
9.85833	206
9.86667	205
9.87500	169
9.88333	126
9.89167	145
9.90000	156
9.90833	125
9.91667	103
9.92500	109
9.93333	107
9.94167	68
9.95000	63
9.95833	44
9.96667	36
9.97500	34
9.98333	30
9.99167	20
10.00000	31
10.00833	30
10.01667	12
10.02500	9
10.03333	9
10.04167	20
10.05000	30
10.05833	2
10.06667	-14
10.07500	-9
10.08333	-13
10.09167	9
10.10000	23
10.10833	40
10.11667	48
10.12500	57
10.13333	61
10.14167	49
10.15000	31
10.15833	64
10.16667	83
10.17500	64
10.18333	20
10.19167	28
10.20000	49
10.20833	45
10.21667	27
10.22500	36
10.23333	22
10.24167	31
10.25000	22
10.25833	17
10.26667	-5
10.27500	15
10.28333	47
10.29167	42
10.30000	2
10.30833	1
10.31667	-5
10.32500	-16
10.33333	0
10.34167	-9
10.35000	-43
10.35833	-61
10.36667	-77
10.37500	-102
10.38333	-108
10.39167	-103
10.40000	-89
10.40833	-87
10.41667	-142
10.42500	-158
10.43333	-166
10.44167	-182
10.45000	-168
10.45833	-149
10.46667	-148
10.47500	-171
10.48333	-195
10.49167	-197
10.50000	-192
10.50833	-161
10.51667	-163
10.52500	-212
10.53333	-232
10.54167	-224
10.55000	-210
10.55833	-212
10.56667	-259
10.57500	-316
10.58333	-324
10.59167	-348
10.60000	-363
10.60833	-359
10.61667	-321
10.62500	-288
10.63333	-281
10.64167	-297
10.65000	-298
10.65833	-287
10.66667	-279
10.67500	-288
10.68333	-310
10.69167	-328
10.70000	-368
10.70833	-400
10.71667	-395
10.72500	-366
10.73333	-344
10.74167	-352
10.75000	-345
10.75833	-338
10.76667	-343
10.77500	-377
10.78333	-384
10.79167	-335
10.80000	-312
10.80833	-326
10.81667	-354
10.82500	-360
10.83333	-343
10.84167	-336
10.85000	-332
10.85833	-333
10.86667	-329
10.87500	-326
10.88333	-352
10.89167	-361
10.90000	-397
10.90833	-405
10.91667	-399
10.92500	-387
10.93333	-395
10.94167	-368
10.95000	-355
10.95833	-373
10.96667	-400
10.97500	-392
10.98333	-342
10.99167	-325
11.00000	-349
11.00833	-371
11.01667	-383
11.02500	-374
11.03333	-347
11.04167	-338
11.05000	-323
11.05833	-296
11.06667	-275
11.07500	-279
11.08333	-256
11.09167	-248
11.10000	-277
11.10833	-307
11.11667	-341
11.12500	-360
11.13333	-375
11.14167	-391
11.15000	-379
11.15833	-358
11.16667	-362
11.17500	-351
11.18333	-319
11.19167	-287
11.20000	-274
11.20833	-292
11.21667	-328
11.22500	-371
11.23333	-406
11.24167	-423
11.25000	-414
11.25833	-416
11.26667	-384
11.27500	-396
11.28333	-403
11.29167	-395
11.30000	-384
11.30833	-380
11.31667	-368
11.32500	-380
11.33333	-409
11.34167	-416
11.35000	-433
11.35833	-459
11.36667	-433
11.37500	-422
11.38333	-422
11.39167	-394
11.40000	-381
11.40833	-377
11.41667	-364
11.42500	-343
11.43333	-299
11.44167	-270
11.45000	-250
11.45833	-240
11.46667	-248
11.47500	-250
11.48333	-261
11.49167	-278
11.50000	-290
11.50833	-319
11.51667	-342
11.52500	-364
11.53333	-360
11.54167	-350
11.55000	-342
11.55833	-336
11.56667	-363
11.57500	-383
11.58333	-413
11.59167	-427
11.60000	-399
11.60833	-373
11.61667	-327
11.62500	-295
11.63333	-287
11.64167	-306
11.65000	-330
11.65833	-309
11.66667	-272
11.67500	-266
11.68333	-240
11.69167	-216
11.70000	-228
11.70833	-256
11.71667	-285
11.72500	-305
11.73333	-280
11.74167	-253
11.75000	-226
11.75833	-217
11.76667	-216
11.77500	-213
11.78333	-232
11.79167	-264
11.80000	-297
11.80833	-313
11.81667	-288
11.82500	-251
11.83333	-208
11.84167	-176
11.85000	-161
11.85833	-149
11.86667	-141
11.87500	-109
11.88333	-63
11.89167	-23
11.90000	30
11.90833	127
11.91667	232
11.92500	350
11.93333	516
11.94167	685
11.95000	862
11.95833	1105
11.96667	1441
11.97500	1936
11.98333	2549
11.99167	3277
12.00000	4112
12.00833	5103
12.01667	6321
12.02500	7807
12.03333	9576
12.04167	11641
12.05000	14054
12.05833	16869
12.06667	20074
12.07500	23650
12.08333	27571
12.09167	31882
12.10000	36529
12.10833	41481
12.11667	46628
12.12500	51888
12.13333	57157
12.14167	62346
12.15000	67329
12.15833	71991
12.16667	76239
12.17500	80012
12.18333	83210
12.19167	85775
12.20000	87612
12.20833	88709
12.21667	89068
12.22500	88686
12.23333	87647
12.24167	85962
12.25000	83644
12.25833	80778
12.26667	77457
12.27500	73760
12.28333	69754
12.29167	65517
12.30000	61089
12.30833	56586
12.31667	52070
12.32500	47588
12.33333	43194
12.34167	38998
12.35000	34987
12.35833	31204
12.36667	27664
12.37500	24371
12.38333	21346
12.39167	18588
12.40000	16126
12.40833	13923
12.41667	11937
12.42500	10176
12.43333	8631
12.44167	7306
12.45000	6148
12.45833	5136
12.46667	4298
12.47500	3593
12.48333	2979
12.49167	2461
12.50000	2011
12.50833	1663
12.51667	1371
12.52500	1134
12.53333	963
12.54167	800
12.55000	673
12.55833	572
12.56667	468
12.57500	364
12.58333	275
12.59167	211
12.60000	184
12.60833	162
12.61667	104
12.62500	58
12.63333	32
12.64167	2
12.65000	-10
12.65833	-64
12.66667	-116
12.67500	-118
12.68333	-127
12.69167	-156
12.70000	-147
12.70833	-138
12.71667	-139
12.72500	-137
12.73333	-142
12.74167	-170
12.75000	-163
12.75833	-160
12.76667	-177
12.77500	-190
12.78333	-204
12.79167	-184
12.80000	-161
12.80833	-133
12.81667	-98
12.82500	-79
12.83333	-104
12.84167	-120
12.85000	-129
12.85833	-140
12.86667	-164
12.87500	-177
12.88333	-145
12.89167	-98
12.90000	-98
12.90833	-120
12.91667	-161
12.92500	-183
12.93333	-201
12.94167	-232
12.95000	-266
12.95833	-271
12.96667	-249
12.97500	-226
12.98333	-210
